# permalink	title	date	img	code_blocks	chars_excl_code	strength	category —— 博客 P0 §五清单机器版，由 legacy-site HTML 抽取（2026-09-20）；title = 旧站 <title> 首段，验收脚本按它比；category = 2026-09 回抄后新加的一层分类（运维/Java/项目/工具，P1 回执 §九 P2-2 裁），原文无
2020/06/24/Git提交规范/	Git提交规范	2020-06-24	0	2	933	甲	工具
2021/01/01/分布式电商项目-基础篇/	分布式电商项目-基础篇	2021-01-01	0	218	23881	甲	项目
2021/04/25/CentOS-7-TAR包安装Mysql/	CentOS 7 TAR包安装Mysql	2021-04-25	0	1	39	甲	运维
2021/04/25/Linux搭建Java环境/	Linux搭建Java环境	2021-04-25	0	2	483	甲	运维
2021/07/24/Docker快速搭建Zookeeper和kafka集群/	Docker快速搭建Zookeeper和kafka集群	2021-07-24	0	9	340	甲	运维
2022/01/01/分布式电商项目-高级篇/	分布式电商项目-高级篇	2022-01-01	3	143	24489	丙:有损(图404);新站多显示旧站被吞43块(旧站<script>吞末三分之一,回执2026-09-20复审裁)	项目
2022/04/25/Mysql主从同步搭建/	Mysql主从同步搭建	2022-04-25	0	9	935	甲	运维
2022/05/05/kubernetes集群搭建/	kubernetes集群搭建	2022-05-05	0	6	811	甲	运维
2022/05/24/Jira-Linux安装部署/	Jira Linux安装部署	2022-05-24	0	4	473	甲	运维
2022/10/24/Centos-7搭建Gitlab服务器/	Centos 7搭建Gitlab服务器	2022-10-24	0	3	296	甲	运维
2023/03/24/Java-8-stream/	Java 8 stream	2023-03-24	0	12	1256	甲	Java
2023/03/25/X99双路主板构建服务器工作站主机/	X99双路主板构建服务器工作站主机	2023-03-25	0	0	1472	甲	运维
2023/03/27/Docker镜像加速问题/	Docker镜像加速问题	2023-03-27	0	2	136	甲	运维
2023/09/07/ChatGPT使用指南/	ChatGPT使用指南	2023-09-07	0	0	5108	甲	工具
2023/09/11/MongoDB-7-Centos7部署/	MongoDB_7 Centos7部署	2023-09-11	0	15	2215	甲	运维
